,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
4798,中和區,房地(土地+建物)+車位,新北市中和區中原二街６８號二十三樓,29.48,住,,,1100620,土地1建物1車位1,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造,1100125,167.39,3,2,2,有,有,26000000,171844,坡道平面,28.31,2100000,,RPUPMLOJLHHGFHF68DA,80.59,2.21,9.41,有,
4799,中和區,房地(土地+建物)+車位,新北市中和區中原二街６８號二十四樓,29.48,住,,,1100429,土地1建物1車位1,二十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造,1100125,167.39,3,2,2,有,有,26280000,171340,坡道平面,28.31,2450000,,RPWQMLOJLHHGFHF98DA,80.59,2.21,9.41,有,
4800,中和區,房地(土地+建物)+車位,新北市中和區中原二街４８號二十二樓,40.33,住,,,1110103,土地1建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造,1100125,222.48,3,2,2,有,有,42000000,203430,坡道平面,28.31,2500000,,RPPSMLOJLHHGFHF48DA,110.16,2.87,15.76,有,
4805,中和區,房地(土地+建物),新北市中和區景平路４８８號十三樓之二,4.21,,,,1110211,土地2建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0970501,61.11,1,1,1,有,有,11000000,180003,,0.0,0,,RPTRMLQKLHHGFHF09DA,37.05,0.0,0.0,有,58.0
4807,中和區,房地(土地+建物),新北市中和區橋和路１６０巷２１號四樓,15.31,住,,,1110208,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871230,122.25999999999999,3,2,2,有,有,13300000,108776,,0.0,0,,RPVSMLQKLHHGFHF76DA,77.21,1.13,9.62,有,
4816,三峽區,房地(土地+建物),新北市三峽區復興路１６２號二樓之１,5.02,都市：其他:住宅區,,,1110220,土地2建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830510,49.68,1,1,1,有,有,5450000,109702,,0.0,0,陽台外推；,RPWNMLLLKHHGFIF58DA,33.53,0.0,5.47,有,64.0
4817,鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳吉一街２２７號十三樓,16.53,住,,,1110225,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091229,101.11,2,1,1,有,有,8640000,85451,坡道平面,27.17,0,,RPOPMLRJLHHGFIF48DA,42.59,3.12,3.22,有,65.0
4818,三峽區,房地(土地+建物)+車位,新北市三峽區中園街１５之１號十樓,16.02,住,,,1110115,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020503,124.53999999999999,2,2,1,有,有,10400000,102828,坡道平面,38.96,1600000,,RPSOMLKKLHHGFIF18DA,53.38,1.3,4.55,有,66.0
4827,板橋區,房地(土地+建物)+車位,新北市板橋區華江一路３８３號七樓,16.46,住,,,1110218,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091007,142.75,3,2,2,有,有,21700000,176284,坡道平面,32.7,2300000,,RPUNMLQKLHHGFAF18EA,61.58,8.15,3.47,有,
4831,板橋區,房地(土地+建物)+車位,新北市板橋區雙十路二段８１號九樓之一,14.95,住,,,1101223,土地1建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871111,172.82999999999998,4,2,2,有,有,29060000,194505,坡道平面,35.25,2300000,陽台外推；其他增建；,RPRNMLQKLHHGFAF87EA,109.2,0.77,12.47,有,
4834,泰山區,房地(土地+建物)+車位,新北市泰山區楓江路２６巷１７號二樓,12.21,住,,,1110222,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950119,81.33000000000001,3,2,2,有,有,7300000,89758,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUQMLRKLHHGFBF68EA,39.65,0.0,5.44,有,73.0
4836,新莊區,房地(土地+建物)+車位,新北市新莊區中和街１５５巷１８號十一樓,17.31,住,,,1101221,土地1建物1車位1,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831111,151.31,3,2,2,有,有,17000000,132006,坡道平面,37.3,1950000,陽台外推；其他增建；,RPOSMLRKLHHGFBF28EA,113.47,0.0,15.0,有,
4839,新店區,房地(土地+建物),新北市新店區新店路２６２之７號十八樓,3.71,,,,1110302,土地1建物1車位0,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980409,44.56,1,1,1,有,有,9580000,214991,,0.0,0,夾層；,RPTOMLRKLHHGFCF48EA,27.71,0.0,2.49,有,
4842,新店區,房地(土地+建物)+車位,新北市新店區達觀路１４巷３號九樓之二,51.68,,山坡地保育區,丙種建築用地,1110226,土地2建物1車位1,九層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850710,144.88,3,2,2,有,有,10800000,74544,坡道平面,0.0,0,,RPPNMLRKLHHGFCF97EA,76.3,0.0,13.23,有,
4843,汐止區,房地(土地+建物),新北市汐止區新臺五路二段２０６號３０樓,7.03,住,,,1110301,土地2建物1車位0,三十層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0851230,141.85,2,1,2,有,有,12090000,85231,,0.0,0,,RPROMLRKLHHGFDF38EA,97.62,0.75,12.65,有,
4848,淡水區,房地(土地+建物),新北市淡水區中正東路二段８７之９號十三樓,2.68,住,,,1110112,土地2建物1車位0,十三層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0880704,42.85,1,2,1,有,有,5730000,133722,,0.0,0,夾層；,RPXNMLRKLHHGFEF98EA,25.02,0.8,5.94,有,
